"unique_id","ds","harmonic_reg","y"
"region1-cantonGE",2020-01-01,2.06441703155822,0.720044735689053
"region1-cantonGE",2020-01-02,3.92663599245391,3.29440002629687
"region1-cantonGE",2020-01-03,4.18781543113291,5.46264979619047
"region1-cantonGE",2020-01-04,2.81812397048878,2.73898561503175
"region1-cantonGE",2020-01-05,0.662696442062342,1.17299918726499
"region1-cantonGE",2020-01-06,3.80139559622785,5.55524255666435
"region1-cantonGE",2020-01-07,4.0359180456717,4.88187601330236
"region1-cantonGE",2020-01-08,3.6212640403635,4.29884190284071
"region1-cantonGE",2020-01-09,3.51161285335138,4.11403349475735
"region1-cantonGE",2020-01-10,3.91249096971565,4.97468846257887
"region1-cantonGE",2020-01-11,2.2482542656365,2.4427421177273
"region1-cantonGE",2020-01-12,0.460410009002553,0.902813679807925
"region1-cantonGE",2020-01-13,3.61695443925764,3.71086968934676
"region1-cantonGE",2020-01-14,3.20911335442741,3.35969850895565
"region1-cantonGE",2020-01-15,3.02436936654301,3.44291670571103
"region1-cantonGE",2020-01-16,3.01090491619891,3.13697204850022
"region1-cantonGE",2020-01-17,3.19494395615306,3.33739245924725
"region1-cantonGE",2020-01-18,1.28093369311192,2.09358768837634
"region1-cantonGE",2020-01-19,0.132057650948085,0.753475419096236
"region1-cantonGE",2020-01-20,3.3900598362921,3.10290892763093
"region1-cantonGE",2020-01-21,3.0893886509935,3.0098955864547
"region1-cantonGE",2020-01-22,3.45319990130227,3.02616078149408
"region1-cantonGE",2020-01-23,3.78685383610512,3.5048274382245
"region1-cantonGE",2020-01-24,6.18613636851255,6.91474578929501
"region1-cantonGE",2020-01-25,3.59170586743361,3.63600123349976
"region1-cantonGE",2020-01-26,2.23275485295414,1.20222954607864
"region1-cantonGE",2020-01-27,5.144034642237,6.76358892822789
"region1-cantonGE",2020-01-28,6.0171210105125,5.62871377606256
"region1-cantonGE",2020-01-29,5.2583533560637,6.3649986442538
"region1-cantonGE",2020-01-30,5.61225838963167,6.19028221501623
"region1-cantonGE",2020-01-31,5.76618860946505,6.85171977387623
"region1-cantonGE",2020-02-01,3.94821816180518,3.93159271323492
"region1-cantonGE",2020-02-02,1.99674445073207,1.30938599027745
"region1-cantonGE",2020-02-03,4.71890809563133,6.84250576703666
"region1-cantonGE",2020-02-04,5.41488569312568,5.44024427953756
"region1-cantonGE",2020-02-05,4.43932013426532,5.36807983649295
"region1-cantonGE",2020-02-06,4.44811746474552,4.84390391983447
"region1-cantonGE",2020-02-07,4.50656826952441,5.43590806900016
"region1-cantonGE",2020-02-08,2.63680199385936,2.81415521292726
"region1-cantonGE",2020-02-09,0.745358530809105,0.904539078853153
"region1-cantonGE",2020-02-10,3.68772148543224,3.821076322643
"region1-cantonGE",2020-02-11,3.32187111996808,3.71058616939471
"region1-cantonGE",2020-02-12,3.20823489582414,3.36635692020531
"region1-cantonGE",2020-02-13,3.02338402673473,3.02371248489155
"region1-cantonGE",2020-02-14,3.27116324711677,3.47280143170684
"region1-cantonGE",2020-02-15,1.44855381248789,1.9521464764949
"region1-cantonGE",2020-02-16,0.0991215273203575,0.801382067348152
"region1-cantonGE",2020-02-17,3.33913448282212,2.88910512202015
"region1-cantonGE",2020-02-18,2.73329055265454,3.04387098844379
"region1-cantonGE",2020-02-19,3.01877758187939,2.95223608681345
"region1-cantonGE",2020-02-20,3.11102049865868,3.40404431891472
"region1-cantonGE",2020-02-21,3.89110211567388,3.672181355558
"region1-cantonGE",2020-02-22,2.22556626945792,2.07958947814695
"region1-cantonGE",2020-02-23,1.20817011885225,0.847771648895298
"region1-cantonGE",2020-02-24,4.7239155637678,3.99084877481611
"region1-cantonGE",2020-02-25,6.25948040911538,7.17700761897606
"region1-cantonGE",2020-02-26,5.54745355296755,6.09381768414739
"region1-cantonGE",2020-02-27,5.64369823027734,7.25513381305666
"region1-cantonGE",2020-02-28,6.5162983774384,8.76031069353809
"region1-cantonGE",2020-02-29,5.05567521643005,4.37367668090335
"region1-cantonGE",2020-03-01,2.5807867037982,1.68921500714809
"region1-cantonGE",2020-03-02,5.56480693538444,7.11372941177673
"region1-cantonGE",2020-03-03,6.24482596911013,6.4492416638193
"region1-cantonGE",2020-03-04,5.53449362700091,5.55887349174092
"region1-cantonGE",2020-03-05,5.10429216027376,4.51431941601375
"region1-cantonGE",2020-03-06,4.99635282936148,5.83679862396646
"region1-cantonGE",2020-03-07,3.38329479136624,3.17949612528671
"region1-cantonGE",2020-03-08,1.28936533799119,1.08633841606417
"region1-cantonGE",2020-03-09,4.08131101510669,4.38598434467831
"region1-cantonGE",2020-03-10,3.81102655268735,4.00279224859741
"region1-cantonGE",2020-03-11,3.48577572498749,4.03449322533578
"region1-cantonGE",2020-03-12,3.45282591259065,4.10167492270371
"region1-cantonGE",2020-03-13,3.82861366218687,5.02180603251119
"region1-cantonGE",2020-03-14,2.19658265043534,2.44299000188427
"region1-cantonGE",2020-03-15,0.4671405518729,1.08679776537876
"region1-cantonGE",2020-03-16,3.78898686878364,5.55032481694352
"region1-cantonGE",2020-03-17,4.08193292292157,2.65902359010139
"region1-cantonGE",2020-03-18,2.79349216662059,1.845207763088
"region1-cantonGE",2020-03-19,2.74459016279227,2.19227612781936
"region1-cantonGE",2020-03-20,3.19647360128004,2.69550328779957
"region1-cantonGE",2020-03-21,1.17305073384057,0.956896285468439
"region1-cantonGE",2020-03-22,-0.30426465379063,0.420016795267701
"region1-cantonGE",2020-03-23,3.25587902914799,1.80313676998179
"region1-cantonGE",2020-03-24,2.45771485099795,2.01747158809946
